"","Precinct","First","Second","Third","Ward"
"10568","P-09","BETSY HODGES","CAM WINTON","MARK ANDREW","W-13"
"10569","P-03","TONY LANE","TONY LANE","TONY LANE","W-6"
"10570","P-06","STEPHANIE WOODRUFF","CAM WINTON","DAN COHEN","W-11"
"10571","P-09","MARK ANDREW","KURTIS W. HANNA","CAPTAIN JACK SPARROW","W-6"
"10572","P-03","DAN COHEN","DON SAMUELS","undervote","W-3"
"10573","P-01","DON SAMUELS","undervote","undervote","W-11"
"10574","P-04","JACKIE CHERRYHOMES","DON SAMUELS","ALICIA K. BENNETT","W-12"
"10575","P-06","MARK ANDREW","BETSY HODGES","undervote","W-13"
"10576","P-07","MARK ANDREW","BETSY HODGES","STEPHANIE WOODRUFF","W-7"
"10577","P-02","BETSY HODGES","undervote","undervote","W-10"
"10578","P-09","MARK ANDREW","MARK ANDREW","DON SAMUELS","W-2"
"10579","P-04","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-11"
"10580","P-08","JACKIE CHERRYHOMES","JACKIE CHERRYHOMES","JACKIE CHERRYHOMES","W-1"
"10581","P-07","BETSY HODGES","JACKIE CHERRYHOMES","DON SAMUELS","W-8"
"10582","P-07","JOHN LESLIE HARTWIG","undervote","undervote","W-8"
"10583","P-05","DON SAMUELS","BETSY HODGES","STEPHANIE WOODRUFF","W-13"
"10584","P-07","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-13"
"10585","P-05","DON SAMUELS","undervote","undervote","W-3"
"10586","P-09","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-12"
"10587","P-05","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-13"
"10588","P-05A","CAM WINTON","DAN COHEN","BOB FINE","W-10"
"10589","P-04","MARK ANDREW","BOB FINE","BETSY HODGES","W-13"
"10590","P-07","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-8"
"10591","P-02","undervote","undervote","undervote","W-4"
"10592","P-08","BETSY HODGES","ALICIA K. BENNETT","DOUG MANN","W-12"
"10593","P-6C","JACKIE CHERRYHOMES","CAM WINTON","undervote","W-5"
"10594","P-02","BETSY HODGES","MARK ANDREW","CAM WINTON","W-10"
"10595","P-05","MARK ANDREW","DON SAMUELS","undervote","W-8"
"10596","P-08","CAM WINTON","OLE SAVIOR","MARK V ANDERSON","W-12"
"10597","P-03","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-2"
"10598","P-03","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-12"
"10599","P-07","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-3"
"10600","P-09","DAN COHEN","CAM WINTON","BETSY HODGES","W-7"
"10601","P-05","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-11"
"10602","P-06","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-1"
"10603","P-02","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-9"
"10604","P-04","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-13"
"10605","P-03","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-2"
"10606","P-07","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-7"
"10607","P-06","BETSY HODGES","JACKIE CHERRYHOMES","undervote","W-13"
"10608","P-04","JOSHUA REA","MERRILL ANDERSON","MARK V ANDERSON","W-9"
"10609","P-07","DON SAMUELS","BETSY HODGES","CAM WINTON","W-7"
"10610","P-04","MARK ANDREW","DON SAMUELS","BOB FINE","W-1"
"10611","P-01","BOB FINE","BETSY HODGES","MARK ANDREW","W-11"
"10612","P-05","DON SAMUELS","MARK ANDREW","ALICIA K. BENNETT","W-8"
"10613","P-08","MARK ANDREW","DON SAMUELS","undervote","W-3"
"10614","P-03","BETSY HODGES","MARK ANDREW","undervote","W-9"
"10615","P-03","BOB FINE","MIKE GOULD","JOSHUA REA","W-3"
"10616","P-03","CHRISTOPHER ROBIN ZIMMERMAN","EDMUND BERNARD BRUYERE","OLE SAVIOR","W-12"
"10617","P-06","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-8"
"10618","P-10","MARK ANDREW","undervote","undervote","W-12"
"10619","P-08","BETSY HODGES","STEPHANIE WOODRUFF","MARK ANDREW","W-8"
"10620","P-04","TONY LANE","BETSY HODGES","undervote","W-3"
"10621","P-01","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-12"
"10622","P-07","CAM WINTON","DAN COHEN","BOB FINE","W-3"
"10623","P-04","BETSY HODGES","MARK ANDREW","CAM WINTON","W-11"
"10624","P-06","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-13"
"10625","P-05","JACKIE CHERRYHOMES","DON SAMUELS","BETSY HODGES","W-12"
"10626","P-09","MARK ANDREW","CAM WINTON","BETSY HODGES","W-13"
"10627","P-05","BETSY HODGES","JACKIE CHERRYHOMES","RAHN V. WORKCUFF","W-4"
"10628","P-04","DON SAMUELS","undervote","undervote","W-3"
"10629","P-08","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-6"
"10630","P-03","MARK V ANDERSON","OLE SAVIOR","CAM WINTON","W-4"
"10631","P-05","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-12"
"10632","P-02","DON SAMUELS","DAN COHEN","MIKE GOULD","W-5"
"10633","P-01","BETSY HODGES","undervote","undervote","W-12"
"10634","P-08","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-1"
"10635","P-08","MARK ANDREW","CAM WINTON","BOB FINE","W-7"
"10636","P-04","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-13"
"10637","P-09","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-7"
"10638","P-09","MARK ANDREW","BETSY HODGES","ALICIA K. BENNETT","W-13"
"10639","P-05","MARK ANDREW","BETSY HODGES","BOB FINE","W-12"
"10640","P-06","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-12"
"10641","P-04","BETSY HODGES","DON SAMUELS","BOB FINE","W-10"
"10642","P-02D","BETSY HODGES","MARK ANDREW","STEPHANIE WOODRUFF","W-7"
"10643","P-09","MARK ANDREW","DON SAMUELS","undervote","W-3"
"10644","P-08","BETSY HODGES","DON SAMUELS","STEPHANIE WOODRUFF","W-12"
"10645","P-05","BETSY HODGES","DON SAMUELS","undervote","W-1"
"10646","P-07","BETSY HODGES","undervote","undervote","W-13"
"10647","P-08","CAM WINTON","undervote","undervote","W-11"
"10648","P-09","JACKIE CHERRYHOMES","BETSY HODGES","MARK ANDREW","W-12"
"10649","P-05","MARK ANDREW","STEPHANIE WOODRUFF","undervote","W-12"
"10650","P-06","DON SAMUELS","undervote","undervote","W-8"
"10651","P-03","DON SAMUELS","JACKIE CHERRYHOMES","BETSY HODGES","W-5"
"10652","P-02","MARK ANDREW","BETSY HODGES","undervote","W-11"
"10653","P-07","MARK ANDREW","DON SAMUELS","JACKIE CHERRYHOMES","W-3"
"10654","P-01","MARK ANDREW","undervote","undervote","W-4"
"10655","P-02","MARK ANDREW","TONY LANE","MARK V ANDERSON","W-13"
"10656","P-02","MARK ANDREW","BETSY HODGES","BOB FINE","W-12"
"10657","P-07","MARK ANDREW","JAYMIE KELLY","ALICIA K. BENNETT","W-12"
"10658","P-09","CAM WINTON","BOB FINE","STEPHANIE WOODRUFF","W-10"
"10659","P-10","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-11"
"10660","P-02","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-12"
"10661","P-03","BILL KAHN","ALICIA K. BENNETT","MIKE GOULD","W-3"
"10662","P-06","DON SAMUELS","JACKIE CHERRYHOMES","CAM WINTON","W-13"
"10663","P-09","MARK ANDREW","undervote","undervote","W-6"
"10664","P-08","BETSY HODGES","MARK ANDREW","undervote","W-12"
"10665","P-08","BETSY HODGES","JACKIE CHERRYHOMES","DON SAMUELS","W-1"
"10666","P-05","DON SAMUELS","BETSY HODGES","CAM WINTON","W-13"
"10667","P-09","JACKIE CHERRYHOMES","CHRISTOPHER ROBIN ZIMMERMAN","CAPTAIN JACK SPARROW","W-13"
"10668","P-05","DON SAMUELS","BOB FINE","MARK ANDREW","W-13"
"10669","P-05","MARK ANDREW","MARK ANDREW","MARK ANDREW","W-8"
"10670","P-06","MARK ANDREW","DON SAMUELS","undervote","W-12"
"10671","P-06","BETSY HODGES","DOUG MANN","undervote","W-9"
"10672","P-09","MARK ANDREW","undervote","undervote","W-3"
"10673","P-6C","ALICIA K. BENNETT","GREGG A. IVERSON","GREGG A. IVERSON","W-5"
"10674","P-05","BETSY HODGES","DOUG MANN","JAYMIE KELLY","W-12"
"10675","P-02","CAM WINTON","MARK ANDREW","BOB FINE","W-3"
"10676","P-06","STEPHANIE WOODRUFF","CAM WINTON","KURTIS W. HANNA","W-11"
"10677","P-08","undervote","undervote","undervote","W-3"
"10678","P-03","MARK ANDREW","undervote","undervote","W-6"
"10679","P-09","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-13"
"10680","P-06","JEFFREY ALAN WAGNER","BOB FINE","BETSY HODGES","W-3"
"10681","P-06","DON SAMUELS","CAM WINTON","undervote","W-3"
"10682","P-04","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-12"
"10683","P-05","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-12"
"10684","P-08","BETSY HODGES","MARK ANDREW","undervote","W-2"
"10685","P-06","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-2"
"10686","P-06","JAMES EVERETT","BETSY HODGES","TONY LANE","W-8"
"10687","P-03","BETSY HODGES","DON SAMUELS","undervote","W-13"
"10688","P-07","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-10"
"10689","P-03","MARK ANDREW","ABDUL M RAHAMAN ""THE ROCK""","ALICIA K. BENNETT","W-6"
"10690","P-02","BETSY HODGES","MARK ANDREW","DOUG MANN","W-6"
"10691","P-04","BOB FINE","BETSY HODGES","JACKIE CHERRYHOMES","W-11"
"10692","P-05","CAM WINTON","DAN COHEN","undervote","W-3"
"10693","P-01","MARK ANDREW","undervote","undervote","W-5"
"10694","P-09","MARK ANDREW","undervote","undervote","W-6"
"10695","P-06","MARK ANDREW","BETSY HODGES","undervote","W-1"
"10696","P-02","DON SAMUELS","BETSY HODGES","undervote","W-5"
"10697","P-01","BETSY HODGES","MARK ANDREW","undervote","W-1"
"10698","P-09","DON SAMUELS","STEPHANIE WOODRUFF","MARK ANDREW","W-11"
"10699","P-03A","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-10"
"10700","P-06","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-11"
"10701","P-03","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-13"
"10702","P-03","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-3"
"10703","P-09","CAM WINTON","BOB FINE","ABDUL M RAHAMAN ""THE ROCK""","W-1"
"10704","P-06","BOB FINE","MARK ANDREW","STEPHANIE WOODRUFF","W-12"
"10705","P-03A","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-10"
"10706","P-02","BETSY HODGES","MARK V ANDERSON","JACKIE CHERRYHOMES","W-2"
"10707","P-06","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-8"
"10708","P-04","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-8"
"10709","P-06","BETSY HODGES","DON SAMUELS","CAM WINTON","W-3"
"10710","P-07","BETSY HODGES","MARK ANDREW","JAMES EVERETT","W-9"
"10711","P-07","DON SAMUELS","JACKIE CHERRYHOMES","BETSY HODGES","W-13"
"10712","P-01","BETSY HODGES","DON SAMUELS","DOUG MANN","W-12"
"10713","P-04","JACKIE CHERRYHOMES","undervote","undervote","W-4"
"10714","P-03","CAM WINTON","BETSY HODGES","MARK ANDREW","W-1"
"10715","P-08","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-12"
"10716","P-08","CAM WINTON","CAM WINTON","CAM WINTON","W-11"
"10717","P-08","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-12"
"10718","P-06","BETSY HODGES","STEPHANIE WOODRUFF","JACKIE CHERRYHOMES","W-12"
"10719","P-04","MARK ANDREW","BETSY HODGES","DOUG MANN","W-3"
"10720","P-04","MARK ANDREW","DOUG MANN","JAMES EVERETT","W-3"
"10721","P-03","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-1"
"10722","P-02","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-2"
"10723","P-01","JOHN LESLIE HARTWIG","undervote","undervote","W-8"
"10724","P-01","BETSY HODGES","MARK ANDREW","undervote","W-2"
"10725","P-08","BETSY HODGES","BETSY HODGES","undervote","W-7"
"10726","P-02D","CAM WINTON","undervote","undervote","W-7"
"10727","P-10","BETSY HODGES","MARK ANDREW","UWI","W-12"
"10728","P-05","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-4"
"10729","P-10","MARK ANDREW","BETSY HODGES","undervote","W-11"
"10730","P-10","MARK ANDREW","BETSY HODGES","BOB FINE","W-11"
"10731","P-02","DON SAMUELS","BETSY HODGES","STEPHANIE WOODRUFF","W-1"
"10732","P-06","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-8"
"10733","P-02","BOB FINE","BETSY HODGES","CAM WINTON","W-9"
"10734","P-06","DON SAMUELS","BETSY HODGES","CAM WINTON","W-13"
"10735","P-07","MARK ANDREW","JACKIE CHERRYHOMES","BILL KAHN","W-5"
"10736","P-03","BETSY HODGES","DOUG MANN","DON SAMUELS","W-4"
"10737","P-03","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-12"
"10738","P-06","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-3"
"10739","P-06","BETSY HODGES","JACKIE CHERRYHOMES","MARK ANDREW","W-13"
"10740","P-03","MARK ANDREW","ALICIA K. BENNETT","MERRILL ANDERSON","W-11"
"10741","P-02","DON SAMUELS","BETSY HODGES","undervote","W-3"
"10742","P-04D","MARK ANDREW","CAM WINTON","undervote","W-7"
"10743","P-07","MARK ANDREW","JACKIE CHERRYHOMES","undervote","W-8"
"10744","P-05","CAM WINTON","DAN COHEN","CAPTAIN JACK SPARROW","W-12"
"10745","P-02","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-11"
"10746","P-01","JACKIE CHERRYHOMES","MARK ANDREW","DON SAMUELS","W-5"
"10747","P-03","TONY LANE","JAYMIE KELLY","JAMES EVERETT","W-9"
"10748","P-01","BETSY HODGES","DAN COHEN","STEPHANIE WOODRUFF","W-12"
"10749","P-02","BETSY HODGES","MARK ANDREW","undervote","W-2"
"10750","P-01","CAPTAIN JACK SPARROW","BILL KAHN","STEPHANIE WOODRUFF","W-8"
"10751","P-01","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-6"
"10752","P-06","KURTIS W. HANNA","CHRISTOPHER CLARK","JOHN LESLIE HARTWIG","W-1"
"10753","P-02","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-11"
"10754","P-06","BETSY HODGES","JACKIE CHERRYHOMES","MARK ANDREW","W-12"
"10755","P-02","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-2"
"10756","P-02","BETSY HODGES","JACKIE CHERRYHOMES","MARK ANDREW","W-8"
"10757","P-6C","GREGG A. IVERSON","undervote","undervote","W-5"
"10758","P-06","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-2"
"10759","P-03A","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-10"
"10760","P-05","MARK ANDREW","undervote","undervote","W-6"
"10761","P-02D","BETSY HODGES","MARK ANDREW","CAM WINTON","W-7"
"10762","P-03","CAM WINTON","undervote","undervote","W-12"
"10763","P-04","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-13"
"10764","P-02","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-13"
"10765","P-02","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-10"
"10766","P-09","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-3"
"10767","P-04","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-1"
"10768","P-06","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-13"
"10769","P-08","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-2"
"10770","P-02","BETSY HODGES","DON SAMUELS","BOB FINE","W-13"
"10771","P-05","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-12"
"10772","P-02","overvote","undervote","undervote","W-6"
"10773","P-05A","OLE SAVIOR","undervote","undervote","W-10"
"10774","P-08","BETSY HODGES","DON SAMUELS","MARK V ANDERSON","W-12"
"10775","P-08","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-2"
"10776","P-05","BOB FINE","BETSY HODGES","DON SAMUELS","W-8"
"10777","P-06","BETSY HODGES","MARK ANDREW","STEPHANIE WOODRUFF","W-12"
"10778","P-08","MARK ANDREW","undervote","undervote","W-5"
"10779","P-08","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-1"
"10780","P-01","DON SAMUELS","STEPHANIE WOODRUFF","JACKIE CHERRYHOMES","W-4"
"10781","P-07","DON SAMUELS","MARK ANDREW","BOB FINE","W-6"
"10782","P-05","BETSY HODGES","JACKIE CHERRYHOMES","DON SAMUELS","W-4"
"10783","P-05","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-4"
"10784","P-05","CAM WINTON","undervote","undervote","W-13"
"10785","P-10","JACKIE CHERRYHOMES","BETSY HODGES","MARK ANDREW","W-12"
"10786","P-05","MARK ANDREW","DAN COHEN","CAM WINTON","W-12"
"10787","P-03","CAM WINTON","TONY LANE","CAPTAIN JACK SPARROW","W-1"
"10788","P-07","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-3"
"10789","P-04","MARK ANDREW","DON SAMUELS","undervote","W-13"
"10790","P-04","DON SAMUELS","DON SAMUELS","DON SAMUELS","W-4"
"10791","P-09","BETSY HODGES","undervote","undervote","W-7"
"10792","P-02","KURTIS W. HANNA","BETSY HODGES","DON SAMUELS","W-9"
"10793","P-02","BILL KAHN","TROY BENJEGERDES","JAMES ""JIMMY"" L. STROUD, JR.","W-4"
"10794","P-07","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-8"
"10795","P-09","MARK ANDREW","TONY LANE","JAYMIE KELLY","W-13"
"10796","P-06","ALICIA K. BENNETT","STEPHANIE WOODRUFF","STEPHANIE WOODRUFF","W-3"
"10797","P-07","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-13"
"10798","P-03","MARK ANDREW","undervote","undervote","W-6"
"10799","P-07","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-6"
"10800","P-03","MARK ANDREW","undervote","undervote","W-6"
"10801","P-01","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-13"
"10802","P-07","CAM WINTON","BETSY HODGES","BOB FINE","W-8"
"10803","P-05","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-6"
"10804","P-06","DON SAMUELS","undervote","undervote","W-12"
"10805","P-06","CAM WINTON","BOB FINE","BETSY HODGES","W-13"
"10806","P-08","MARK ANDREW","DON SAMUELS","JACKIE CHERRYHOMES","W-4"
"10807","P-08","OLE SAVIOR","undervote","undervote","W-7"
"10808","P-06","MARK ANDREW","BOB FINE","JACKIE CHERRYHOMES","W-2"
"10809","P-05","DON SAMUELS","MARK ANDREW","undervote","W-6"
"10810","P-05","MARK V ANDERSON","BETSY HODGES","DON SAMUELS","W-8"
"10811","P-08","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-4"
"10812","P-6C","DON SAMUELS","MARK ANDREW","JACKIE CHERRYHOMES","W-5"
"10813","P-06","DON SAMUELS","undervote","undervote","W-1"
"10814","P-01","JACKIE CHERRYHOMES","DAN COHEN","DON SAMUELS","W-2"
"10815","P-03","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-3"
"10816","P-6C","BETSY HODGES","undervote","undervote","W-5"
"10817","P-02","DAN COHEN","DOUG MANN","BETSY HODGES","W-3"
"10818","P-06","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-13"
"10819","P-09","CAM WINTON","DON SAMUELS","BOB FINE","W-12"
"10820","P-07","STEPHANIE WOODRUFF","DAN COHEN","BETSY HODGES","W-6"
"10821","P-02","MARK ANDREW","undervote","undervote","W-13"
"10822","P-07","CAM WINTON","DAN COHEN","DON SAMUELS","W-7"
"10823","P-06","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-2"
"10824","P-01","DON SAMUELS","BETSY HODGES","undervote","W-13"
"10825","P-09","MARK ANDREW","undervote","undervote","W-6"
"10826","P-01","OLE SAVIOR","UWI","undervote","W-10"
"10827","P-06","MARK ANDREW","DON SAMUELS","undervote","W-13"
"10828","P-03","MARK ANDREW","undervote","undervote","W-6"
"10829","P-04","CAM WINTON","BETSY HODGES","UWI","W-13"
"10830","P-01","CAM WINTON","CHRISTOPHER ROBIN ZIMMERMAN","DAN COHEN","W-9"
"10831","P-06","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-3"
"10832","P-06","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-12"
"10833","P-01","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-1"
"10834","P-05","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-5"
"10835","P-08","CAM WINTON","CAM WINTON","CAM WINTON","W-12"
"10836","P-04","KURTIS W. HANNA","MIKE GOULD","BOB FINE","W-9"
"10837","P-09","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-12"
"10838","P-04","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-1"
"10839","P-01","BETSY HODGES","undervote","undervote","W-11"
"10840","P-02","BOB FINE","JACKIE CHERRYHOMES","MIKE GOULD","W-8"
"10841","P-05","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-12"
"10842","P-06","BOB FINE","CAM WINTON","BETSY HODGES","W-7"
"10843","P-01","BETSY HODGES","MERRILL ANDERSON","JACKIE CHERRYHOMES","W-8"
"10844","P-09","JACKIE CHERRYHOMES","undervote","undervote","W-3"
"10845","P-06","BETSY HODGES","JACKIE CHERRYHOMES","MARK ANDREW","W-11"
"10846","P-04","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-13"
"10847","P-06","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-13"
"10848","P-08","BETSY HODGES","DON SAMUELS","CAM WINTON","W-12"
"10849","P-06","DAN COHEN","CAM WINTON","MARK ANDREW","W-13"
"10850","P-02","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-1"
"10851","P-03","CAM WINTON","MARK ANDREW","DON SAMUELS","W-7"
"10852","P-06","DON SAMUELS","JACKIE CHERRYHOMES","MARK ANDREW","W-1"
"10853","P-04","JACKIE CHERRYHOMES","BETSY HODGES","MARK ANDREW","W-5"
"10854","P-06","CAM WINTON","DON SAMUELS","JACKIE CHERRYHOMES","W-12"
"10855","P-02","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-1"
"10856","P-04","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-13"
"10857","P-01","MARK ANDREW","JACKIE CHERRYHOMES","DON SAMUELS","W-4"
"10858","P-03A","BETSY HODGES","DON SAMUELS","MARK V ANDERSON","W-10"
"10859","P-06","BETSY HODGES","CAM WINTON","BOB FINE","W-8"
"10860","P-02","CAM WINTON","CHRISTOPHER CLARK","CHRISTOPHER ROBIN ZIMMERMAN","W-12"
"10861","P-06","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-9"
"10862","P-06","BETSY HODGES","BETSY HODGES","BETSY HODGES","W-13"
"10863","P-02","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-1"
"10864","P-01","BETSY HODGES","JACKIE CHERRYHOMES","MARK ANDREW","W-9"
"10865","P-08","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-10"
"10866","P-05","DAN COHEN","MARK ANDREW","BOB FINE","W-13"
"10867","P-09","BETSY HODGES","DON SAMUELS","undervote","W-1"
"10868","P-08","MARK ANDREW","BETSY HODGES","JACKIE CHERRYHOMES","W-7"
"10869","P-07","DON SAMUELS","BETSY HODGES","DAN COHEN","W-13"
"10870","P-02","DON SAMUELS","DOUG MANN","JAMES EVERETT","W-5"
"10871","P-05","BETSY HODGES","STEPHANIE WOODRUFF","MARK ANDREW","W-3"
"10872","P-02","DON SAMUELS","BETSY HODGES","MARK ANDREW","W-13"
"10873","P-01","DON SAMUELS","MARK ANDREW","DAN COHEN","W-4"
"10874","P-06","DON SAMUELS","DAN COHEN","CAPTAIN JACK SPARROW","W-1"
"10875","P-07","BETSY HODGES","DON SAMUELS","BOB FINE","W-10"
"10876","P-01","MARK ANDREW","DON SAMUELS","undervote","W-1"
"10877","P-02","BETSY HODGES","DOUG MANN","MARK ANDREW","W-4"
"10878","P-01","undervote","undervote","undervote","W-9"
"10879","P-05","BOB FINE","GREGG A. IVERSON","MARK ANDREW","W-9"
"10880","P-03","BETSY HODGES","MARK ANDREW","KURTIS W. HANNA","W-9"
"10881","P-02","BETSY HODGES","MARK ANDREW","undervote","W-1"
"10882","P-07","MARK ANDREW","NEAL BAXTER","undervote","W-3"
"10883","P-06","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-12"
"10884","P-04","BETSY HODGES","OLE SAVIOR","JOSHUA REA","W-8"
"10885","P-6C","BETSY HODGES","undervote","undervote","W-5"
"10886","P-07","MARK ANDREW","undervote","undervote","W-13"
"10887","P-01","undervote","undervote","undervote","W-5"
"10888","P-01","BETSY HODGES","DAN COHEN","DON SAMUELS","W-4"
"10889","P-06","DON SAMUELS","BETSY HODGES","JACKIE CHERRYHOMES","W-4"
"10890","P-01","BETSY HODGES","DON SAMUELS","DOUG MANN","W-10"
"10891","P-04","MARK ANDREW","DON SAMUELS","CAM WINTON","W-4"
"10892","P-08","MARK ANDREW","DON SAMUELS","BETSY HODGES","W-7"
"10893","P-03","undervote","undervote","undervote","W-6"
"10894","P-09","BOB FINE","CAM WINTON","MIKE GOULD","W-1"
"10895","P-04D","CAM WINTON","DON SAMUELS","JACKIE CHERRYHOMES","W-7"
"10896","P-06","BETSY HODGES","MARK ANDREW","undervote","W-12"
"10897","P-03","BETSY HODGES","CAM WINTON","undervote","W-11"
"10898","P-01","ABDUL M RAHAMAN ""THE ROCK""","ABDUL M RAHAMAN ""THE ROCK""","ABDUL M RAHAMAN ""THE ROCK""","W-2"
"10899","P-04D","MARK ANDREW","BETSY HODGES","undervote","W-7"
"10900","P-03","MARK ANDREW","BOB FINE","JACKIE CHERRYHOMES","W-3"
"10901","P-06","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-2"
"10902","P-02","MARK ANDREW","BETSY HODGES","MARK V ANDERSON","W-2"
"10903","P-01","MARK ANDREW","JACKIE CHERRYHOMES","undervote","W-13"
"10904","P-03","JAYMIE KELLY","JOHN LESLIE HARTWIG","NEAL BAXTER","W-3"
"10905","P-04","JACKIE CHERRYHOMES","MARK V ANDERSON","MARK ANDREW","W-1"
"10906","P-02","JACKIE CHERRYHOMES","DON SAMUELS","MARK ANDREW","W-12"
"10907","P-04","BETSY HODGES","DON SAMUELS","BOB FINE","W-12"
"10908","P-05","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-11"
"10909","P-01","MARK ANDREW","BETSY HODGES","DON SAMUELS","W-1"
"10910","P-03","MARK ANDREW","BETSY HODGES","undervote","W-13"
"10911","P-07","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-11"
"10912","P-04","BETSY HODGES","MARK ANDREW","STEPHANIE WOODRUFF","W-6"
"10913","P-06","BETSY HODGES","DON SAMUELS","JACKIE CHERRYHOMES","W-12"
